Object ID,Longitude,Latitude,Distance (Parsecs),Name,Diameter (Parsecs)
12724,99.9,-6.7,1430,HD      212593,0
12683,93.6,-17,690,HD      212883AB,0
12692,95,-15.1,530,HD      212978,0
6577,107.7,5.2,910,HD      213023,0
12769,108.5,6.4,830,HD      213087,0
12721,99.7,-8.6,1040,HD      213310/1,0
12771,108.7,6.3,1030,HD      213405,0
12707,97.4,-12.6,270,HD      213420,0
6550,104.7,-0.6,3470,HD      213470A,0
6568,106.5,2,910,HD      213757,0
12703,96.8,-15,760,HD      213976,0
12403,44.8,-56.9,2960,HD      214080,0
12699,96.4,-16.1,540,HD      214167B,0
12700,96.4,-16.1,530,HD      214168A,0
12696,95.5,-17.7,640,HD      214263,0
14404,319.8,-45,3050,HD      214539,0
6463,96.7,-17,600,HD      214680,0
12697,95.9,-18.3,1280,HD      214714,0
12664,88.3,-30.2,1100,HD      214930,0
12709,97.7,-16.2,570,HD      214993A,0
6462,96.6,-18.4,600,HD      215191,0
12762,106.8,-1,1580,HD      215605,0
12638,85.2,-36.3,2740,HD      215733,0
6571,107.1,-0.7,3470,HD      215806,0
6572,107.1,-0.9,3470,HD      215835,0
6565,106.3,-2.4,3470,HD      215836,0
12757,105.9,-3.6,2720,HD      216044,0
12740,102.7,-10.1,930,HD      216092,0
12750,104.1,-7.7,1110,HD      216206,0
6578,107.7,-0.6,3470,HD      216248,0
12765,108,-0.4,2230,HD      216411,0
12756,105.7,-5.1,2580,HD      216438,0
6600,109.6,2.7,870,HD      216522,0
6599,109.6,2.7,870,HD      216532,0
6601,109.6,2.4,870,HD      216629,0
6602,109.6,2.3,870,HD      216658A,0
6605,109.9,2.7,870,HD      216711,0
6608,109.9,2.4,870,HD      216878,0
6607,109.9,2.4,870,HD      216898,0
12732,100.9,-16.3,610,HD      216916A,0
6586,108.5,-0.7,3470,HD      216927,0
12753,104.6,-9,830,HD      216946,0
6611,110.2,2.8,870,HD      217035,0
12787,110.2,2.6,660,HD      217061,0
6612,110.2,2.7,870,HD      217086,0
12725,100.1,-18.5,600,HD      217101,0
12739,102.3,-14.5,670,HD      217227,0
12789,110.8,3.5,500,HD      217297,0
6613,110.6,2.9,870,HD      217312,0
